File created on 2022-02-16 17:44:48 UT
2022 Starlink Space Weather Event - IMF mesurements by DSCOVR Satellite.

year mo dy hr min sec msec bx by bz vx vy vz dens temp
#START
 2022 02 01 00 49 00 000   -0.22   5.71  -1.27  -459.50	  61.70	  23.80	   6.66	    137937.0
 2022 02 01 00 50 00 000    0.89   5.43  -1.57  -463.90	  67.20	   5.10	   6.72	    138930.0
 2022 02 01 00 51 00 000    1.47   5.31  -1.91  -465.60	  62.00	   0.80	   7.53	    158563.0
 2022 02 01 00 52 00 000    1.97   5.45  -1.75  -482.30	  62.80	 -14.10	   6.82	    234232.0
 2022 02 01 00 53 00 000    2.59   5.30  -1.66  -482.50	  70.90	 -14.70	   7.27	    230062.0
 2022 02 01 00 54 00 000    3.30   5.20  -0.76  -487.50	  62.10	 -15.90	   7.45	    282947.0
 2022 02 01 00 55 00 000    3.90   4.74  -0.37  -497.50	  51.80	  -5.50	   9.02	    346988.0
 2022 02 01 00 56 00 000    3.24   5.23   0.06  -498.50	  39.50	  -2.60	  11.23	    435765.0
 2022 02 01 00 57 00 000    3.72   4.80   0.01  -499.90	  32.80	   2.90	  11.51	    424299.0
 2022 02 01 00 58 00 000    3.94   4.27  -0.64  -499.90	  32.30	  10.20	  11.69	    417461.0
 2022 02 01 00 59 00 000    3.57   5.17  -0.20  -495.90	  41.10	   0.80	  10.18	    386147.0
 2022 02 01 01 00 00 000    2.82   5.64   0.05  -484.80	  53.80	  -9.70	   8.22	    282782.0
 2022 02 01 01 01 00 000    3.01   5.56  -0.17  -486.70	  60.70	 -23.80	   7.28	    272060.0
 2022 02 01 01 02 00 000    2.65   5.76   0.07  -477.10	  59.20	 -24.40	   6.91	    219278.0
 2022 02 01 01 03 00 000    2.42   5.61  -0.08  -477.60	  58.50	 -18.00	   6.83	    210213.0
 2022 02 01 01 04 00 000    2.50   5.49   0.42  -477.60	  55.90	 -26.80	   6.81	    201087.0
 2022 02 01 01 05 00 000    2.88   5.23   0.25  -481.00	  59.80	 -23.30	   7.16	    226413.0
 2022 02 01 01 06 00 000    1.98   5.67   0.51  -476.90	  62.10	 -16.90	   6.84	    213357.0
 2022 02 01 01 07 00 000    2.07   5.83   0.43  -473.40	  64.00	 -20.90	   6.60	    199988.0
 2022 02 01 01 08 00 000    1.82   5.36   0.75  -474.20	  53.30	 -27.10	   6.93	    217315.0
 2022 02 01 01 09 00 000   -0.25   5.54   0.67  -463.40	  61.90	 -25.30	   6.34	    217001.0
 2022 02 01 01 10 00 000   -0.79   5.46   0.73  -454.80	  52.10	  19.20	   6.09	    140871.0
 2022 02 01 01 11 00 000    0.30   5.48   0.45  -459.30	  56.70	  14.30	   6.69	    140399.0
 2022 02 01 01 12 00 000    0.21   5.56   0.29  -458.40	  50.40	  21.10	   6.76	    142010.0
 2022 02 01 01 13 00 000    0.16   5.45   0.65  -457.30	  46.90	  25.00	   6.55	    145320.0
 2022 02 01 01 14 00 000    0.36   5.43   1.06  -458.90	  48.70	  16.20	   6.72	    142770.0
 2022 02 01 01 15 00 000    0.28   5.32   1.27  -459.10	  53.30	  15.80	   6.78	    144294.0
 2022 02 01 01 16 00 000   -2.53   3.63   0.41  -444.30	  56.80	  15.10	   7.00	    236562.0
 2022 02 01 01 17 00 000   -3.84   3.71   0.05  -433.70	  41.30	  23.40	   7.78	    272861.0
 2022 02 01 01 18 00 000   -3.61   3.95   0.54  -437.30	  45.10	   1.40	   6.87	    239600.0
 2022 02 01 01 19 00 000   -3.05   4.09   1.15  -436.00	  53.20	   5.50	   6.10	    217561.0
 2022 02 01 01 20 00 000    2.12   3.30   3.04  -461.20	  64.90	 -12.80	   7.12	    201823.0
 2022 02 01 01 21 00 000    3.03   2.59   4.33  -498.30	  57.10	 -21.90	   9.72	    394884.0
 2022 02 01 01 22 00 000    2.33   3.78   4.05  -477.80	  58.40	 -24.60	   8.15	    326856.0
 2022 02 01 01 23 00 000    2.99   2.88   4.35  -484.10	  68.20	 -35.90	   7.53	    271192.0
 2022 02 01 01 24 00 000    2.84   3.60   3.93  -475.30	  59.10	 -38.70	   6.98	    214696.0
 2022 02 01 01 25 00 000    1.50   3.30   4.75  -470.30	  69.50	 -46.50	   6.61	    218678.0
 2022 02 01 01 26 00 000    1.31   3.82   4.25  -466.90	  68.60	 -42.40	   6.66	    202271.0
 2022 02 01 01 27 00 000    1.79   4.13   3.81  -471.20	  62.90	 -37.70	   6.89	    211924.0
 2022 02 01 01 28 00 000   -0.47   4.45   3.37  -453.10	  61.50	 -26.90	   6.03	    201926.0
 2022 02 01 01 29 00 000   -0.61   3.26   4.43  -449.30	  56.40	  -7.10	   6.47	    195120.0
 2022 02 01 01 30 00 000   -0.96   3.96   4.17  -447.80	  47.30	  15.00	   6.50	    181552.0
 2022 02 01 01 31 00 000   -1.09   2.16   5.17  -446.10	  53.20	  19.50	   7.05	    199091.0
 2022 02 01 01 32 00 000    0.24   3.24   4.92  -455.40	  49.10	  19.70	   6.86	    148603.0
 2022 02 01 01 33 00 000    0.16   3.02   4.85  -455.80	  47.90	  20.50	   6.95	    147641.0
 2022 02 01 01 34 00 000   -0.88   2.60   5.17  -448.10	  49.90	  16.00	   7.35	    191398.0
 2022 02 01 01 35 00 000   -2.20   3.23   4.37  -439.10	  49.10	  16.50	   7.26	    253525.0
 2022 02 01 01 36 00 000   -1.72   1.17   5.42  -439.10	  55.00	  16.00	   7.68	    251619.0
 2022 02 01 01 37 00 000   -2.03   5.79   1.10  -439.80	  43.40	  32.90	   7.56	    238008.0
 2022 02 01 01 38 00 000   -1.76   5.57   1.16  -439.00	  38.90	  32.60	   7.49	    243729.0
 2022 02 01 01 39 00 000   -1.55   5.95   0.79  -442.80	  44.00	  32.40	   7.21	    209308.0
 2022 02 01 01 40 00 000   -1.52   4.79   2.59  -448.20	  47.40	  24.00	   6.89	    193600.0
 2022 02 01 01 41 00 000   -2.02   4.36   3.41  -444.20	  44.40	  21.50	   7.03	    214220.0
 2022 02 01 01 42 00 000   -2.30   4.42   3.19  -438.80	  43.10	  22.00	   7.37	    255666.0
 2022 02 01 01 43 00 000   -2.18   5.11   1.38  -438.40	  42.00	  27.40	   7.66	    251469.0
 2022 02 01 01 44 00 000   -2.32   5.67   1.24  -441.40	  46.50	  29.10	   7.38	    238867.0
 2022 02 01 01 45 00 000   -2.49   5.60   0.83  -438.80	  42.90	  30.80	   7.24	    245385.0
 2022 02 01 01 46 00 000   -2.69   5.46   0.55  -438.80	  47.20	  31.60	   7.44	    251060.0
 2022 02 01 01 47 00 000   -2.20   5.74   1.15  -439.70	  45.20	  32.00	   7.62	    244433.0
 2022 02 01 01 48 00 000   -1.73   5.85   1.56  -446.80	  46.20	  32.40	   6.89	    186446.0
 2022 02 01 01 49 00 000   -2.07   5.74   1.58  -440.40	  46.80	  33.30	   7.35	    236291.0
 2022 02 01 01 50 00 000   -2.17   5.68   1.43  -440.60	  45.30	  31.20	   7.30	    237914.0
 2022 02 01 01 51 00 000   -1.72   5.96   1.13  -447.40	  43.20	  36.40	   7.01	    190656.0
 2022 02 01 01 52 00 000   -1.91   5.93   1.06  -440.80	  43.70	  35.90	   7.65	    240440.0
 2022 02 01 01 53 00 000   -2.01   5.88   0.79  -441.30	  41.60	  35.30	   7.54	    234468.0
 2022 02 01 01 54 00 000   -2.59   5.63   0.79  -439.30	  41.70	  33.30	   7.55	    246797.0
 2022 02 01 01 55 00 000   -2.61   5.49   1.14  -438.60	  44.50	  32.00	   7.48	    242880.0
 2022 02 01 01 56 00 000   -2.38   5.68   0.37  -439.20	  43.30	  35.20	   7.54	    237948.0
 2022 02 01 01 57 00 000   -2.27   5.70   0.69  -439.60	  45.50	  31.70	   7.54	    237980.0
 2022 02 01 01 58 00 000   -1.85   5.62   1.40  -443.90	  44.80	  31.70	   7.44	    213830.0
 2022 02 01 01 59 00 000   -0.65   4.98   2.34  -446.50	  48.50	  26.90	   7.38	    199381.0
 2022 02 01 02 00 00 000    0.08   4.59   2.69  -459.40	  56.10	   6.70	   7.57	    242071.0
 2022 02 01 02 01 00 000   -0.50   4.94   2.19  -457.60	  58.50	 -14.40	   7.04	    210478.0
 2022 02 01 02 02 00 000    0.88   4.49   3.40  -468.30	  71.00	 -30.90	   6.44	    176475.0
 2022 02 01 02 03 00 000   -0.79   5.38   2.33  -455.40	  57.40	 -17.80	   6.21	    184408.0
 2022 02 01 02 04 00 000   -1.90   5.36   1.97  -445.20	  52.20	  20.20	   6.50	    193625.0
 2022 02 01 02 05 00 000   -2.57   5.19   1.58  -437.60	  45.60	  31.90	   7.41	    252964.0
 2022 02 01 02 06 00 000   -2.22   5.45   1.34  -439.90	  44.10	  29.40	   7.70	    247580.0
 2022 02 01 02 07 00 000   -2.68   5.23   0.77  -438.20	  40.30	  31.40	   7.70	    252046.0
 2022 02 01 02 08 00 000   -2.32   5.43  -0.12  -442.90	  46.20	  34.80	   7.26	    221148.0
 2022 02 01 02 09 00 000   -2.11   5.60   0.50  -445.00	  46.10	  38.70	   7.01	    205739.0
 2022 02 01 02 10 00 000   -2.65   5.37   0.16  -438.60	  49.90	  31.90	   7.57	    247439.0
 2022 02 01 02 11 00 000   -2.68   5.50  -0.33  -439.90	  49.30	  36.50	   7.25	    243666.0
 2022 02 01 02 12 00 000   -3.01   5.27  -0.41  -439.40	  50.20	  34.90	   7.18	    247200.0
 2022 02 01 02 13 00 000   -3.55   4.71  -1.10  -436.80	  57.10	  17.20	   6.84	    245254.0
 2022 02 01 02 14 00 000   -3.67   4.56  -0.91  -437.20	  58.70	  -2.00	   6.50	    219679.0
 2022 02 01 02 15 00 000   -3.38   4.40  -1.58  -439.50	  65.30	   3.90	   6.15	    220866.0
 2022 02 01 02 16 00 000   -3.54   3.75  -2.49  -435.90	  63.00	  21.30	   6.09	    208526.0
 2022 02 01 02 17 00 000   -3.54   4.09  -2.17  -437.70	  53.30	  42.90	   6.96	    252094.0
 2022 02 01 02 18 00 000   -3.41   4.19  -2.05  -437.70	  50.70	  40.20	   7.22	    253055.0
 2022 02 01 02 19 00 000   -3.13   4.77  -0.74  -436.70	  56.80	  34.80	   7.29	    267105.0
 2022 02 01 02 20 00 000   -3.18   4.78  -1.25  -437.20	  59.40	  34.20	   7.22	    270319.0
 2022 02 01 02 21 00 000   -3.25   4.73  -1.54  -437.30	  59.70	  30.50	   6.95	    268500.0
 2022 02 01 02 22 00 000   -3.18   4.63  -1.80  -437.00	  56.40	  33.90	   7.05	    261125.0
 2022 02 01 02 23 00 000   -3.11   4.60  -1.48  -436.60	  56.20	  36.40	   7.37	    263875.0
 2022 02 01 02 24 00 000   -3.06   4.21  -2.19  -436.80	  56.70	  38.40	   7.38	    259102.0
 2022 02 01 02 25 00 000   -2.87   4.47  -1.46  -438.60	  56.30	  30.10	   7.30	    260298.0
 2022 02 01 02 26 00 000   -2.98   4.40   0.43  -434.80	  51.20	   5.70	   6.26	    210209.0
 2022 02 01 02 27 00 000   -3.27   4.64   0.59  -433.50	  56.50	 -10.40	   6.06	    219250.0
 2022 02 01 02 28 00 000   -3.42   4.60   0.51  -433.90	  48.00	  11.90	   7.00	    263917.0
 2022 02 01 02 29 00 000   -3.72   4.28   0.96  -433.20	  51.40	  23.70	   7.42	    279047.0
 2022 02 01 02 30 00 000   -3.89   4.53  -0.30  -434.20	  53.60	  26.60	   7.13	    271003.0
 2022 02 01 02 31 00 000   -3.90   4.41  -0.44  -434.30	  57.90	  14.10	   7.13	    274539.0
 2022 02 01 02 32 00 000   -4.05   4.48  -0.26  -435.00	  53.30	  15.60	   7.05	    270473.0
 2022 02 01 02 33 00 000   -4.24   4.33  -0.29  -434.70	  57.50	  22.70	   6.91	    269530.0
 2022 02 01 02 34 00 000   -4.25   4.32  -0.53  -434.50	  62.30	  17.00	   6.94	    273996.0
 2022 02 01 02 35 00 000   -4.38   3.76  -0.02  -425.70	  51.40	  12.80	   6.15	    192437.0
 2022 02 01 02 36 00 000   -4.47   3.49   0.40  -425.40	  63.30	   3.80	   4.94	    173475.0
 2022 02 01 02 37 00 000   -4.51   3.53   0.47  -426.40	  68.70	   3.00	   4.86	    174441.0
 2022 02 01 02 38 00 000   -4.59   3.43   0.49  -424.70	  65.60	   3.60	   4.89	    177797.0
 2022 02 01 02 39 00 000   -4.23   4.02  -0.58  -427.60	  59.90	  12.10	   5.03	    165966.0
 2022 02 01 02 40 00 000   -4.18   4.17  -0.64  -428.50	  61.60	  13.30	   4.83	    165300.0
 2022 02 01 02 41 00 000   -4.22   4.03  -0.88  -427.20	  68.30	  13.60	   4.84	    166099.0
 2022 02 01 02 42 00 000   -4.40   3.75  -0.98  -426.30	  69.20	  11.90	   4.81	    169768.0
 2022 02 01 02 43 00 000   -4.80   3.26  -0.67  -420.90	  70.80	  12.20	   4.77	    154593.0
 2022 02 01 02 44 00 000   -5.03   2.92  -0.52  -417.60	  72.40	  12.50	   4.77	    131219.0
 2022 02 01 02 45 00 000   -4.97   3.06  -0.55  -416.50	  72.70	  18.60	   4.44	    110715.0
 2022 02 01 02 46 00 000   -4.88   3.02  -1.10  -417.50	  76.50	  16.40	   4.63	    117226.0
 2022 02 01 02 47 00 000   -5.08   2.83  -0.69  -414.50	  74.30	  15.60	   4.39	    105080.0
 2022 02 01 02 48 00 000   -5.23   2.61  -0.64  -412.60	  78.40	  25.70	   4.26	     97447.0
 2022 02 01 02 49 00 000   -5.21   2.68  -0.65  -415.20	  78.40	  20.80	   4.59	    100126.0
 2022 02 01 02 50 00 000   -5.17   2.77  -0.59  -417.30	  77.00	  23.30	   4.60	    119990.0
 2022 02 01 02 51 00 000   -5.45   2.15  -0.53  -411.70	  70.60	  31.30	   4.24	     98138.0
 2022 02 01 02 52 00 000   -5.30   2.61  -0.36  -414.70	  74.60	  18.90	   4.38	    104704.0
 2022 02 01 02 53 00 000   -5.56   2.16  -0.50  -411.20	  77.00	  31.20	   4.15	     94414.0
 2022 02 01 02 54 00 000   -5.47   2.41  -0.09  -412.30	  75.60	  21.60	   4.22	     99376.0
 2022 02 01 02 55 00 000   -5.52   2.32  -0.36  -413.20	  75.90	  31.00	   3.98	     93824.0
 2022 02 01 02 56 00 000   -5.40   2.47  -0.38  -413.80	  75.80	  26.00	   3.99	    100683.0
 2022 02 01 02 57 00 000   -5.18   2.96  -0.01  -415.80	  81.50	  15.80	   4.33	    106228.0
 2022 02 01 02 58 00 000   -4.93   3.22   0.78  -422.60	  66.90	   4.30	   4.87	    142499.0
 2022 02 01 02 59 00 000   -5.22   2.65   0.28  -419.30	  86.20	   7.30	   4.36	    119764.0
 2022 02 01 03 00 00 000   -4.83   3.16   0.91  -421.00	  70.00	  -1.90	   4.85	    136227.0
 2022 02 01 03 01 00 000   -4.97   2.95   0.33  -419.10	  80.30	  13.50	   4.36	    123235.0
 2022 02 01 03 02 00 000   -4.61   3.55  -0.16  -428.00	  68.70	  -1.20	   4.72	    172072.0
 2022 02 01 03 03 00 000   -4.54   3.64  -0.45  -427.30	  67.20	   7.20	   4.69	    165309.0
 2022 02 01 03 04 00 000   -4.20   3.80  -0.87  -428.50	  65.50	   9.80	   4.81	    164522.0
 2022 02 01 03 05 00 000   -4.30   3.66  -0.97  -426.10	  65.50	   9.00	   4.96	    168658.0
 2022 02 01 03 06 00 000   -4.14   3.56  -1.39  -428.10	  67.50	  15.10	   4.91	    162196.0
 2022 02 01 03 07 00 000   -4.17   3.85  -0.22  -428.70	  66.00	   5.70	   4.83	    163979.0
 2022 02 01 03 08 00 000   -4.09   3.76  -0.30  -429.60	  68.40	  -6.90	   4.69	    174410.0
 2022 02 01 03 09 00 000   -4.14   3.65   0.19  -423.70	  73.10	  -7.10	   4.51	    155261.0
 2022 02 01 03 10 00 000   -3.82   3.85  -0.01  -423.80	  67.70	   4.20	   4.89	    142486.0
 2022 02 01 03 11 00 000   -3.87   3.69  -0.16  -419.50	  76.80	   3.70	   4.38	    137720.0
 2022 02 01 03 12 00 000   -3.80   3.48  -0.27  -420.00	  77.50	  -8.70	   4.37	    118682.0
 2022 02 01 03 13 00 000   -4.04   3.73   0.09  -428.50	  67.30	  -2.40	   4.56	    143103.0
 2022 02 01 03 14 00 000   -4.19   3.56   0.33  -428.70	  66.90	  -8.00	   4.80	    159057.0
 2022 02 01 03 15 00 000   -3.79   4.00   0.25  -431.70	  62.60	  -3.50	   4.72	    165833.0
 2022 02 01 03 16 00 000   -3.65   4.04   0.26  -431.90	  58.20	 -11.40	   4.90	    163725.0
 2022 02 01 03 17 00 000   -3.19   4.30   0.10  -432.50	  66.70	  -8.70	   4.82	    163381.0
 2022 02 01 03 18 00 000   -3.12   4.42   0.32  -432.80	  64.40	 -12.60	   4.81	    163239.0
 2022 02 01 03 19 00 000   -2.92   4.64   0.51  -432.40	  67.40	  -5.70	   4.76	    158999.0
 2022 02 01 03 20 00 000   -2.52   4.93   0.27  -437.40	  60.50	   5.20	   5.73	    227789.0
 2022 02 01 03 21 00 000   -2.30   5.01   0.14  -437.70	  45.70	  18.90	   7.25	    272202.0
 2022 02 01 03 22 00 000   -2.03   5.12   0.06  -437.00	  42.00	  27.50	   7.63	    267929.0
 2022 02 01 03 23 00 000   -1.96   5.16  -0.11  -436.30	  40.70	  29.40	   7.89	    272738.0
 2022 02 01 03 24 00 000   -2.32   4.73   0.41  -435.10	  41.50	  19.60	   7.87	    278302.0
 2022 02 01 03 25 00 000   -4.32   2.59   2.13  -430.10	  66.00	 -16.70	   7.12	    320363.0
 2022 02 01 03 26 00 000   -4.36   2.45   2.33  -424.20	  71.70	 -10.50	   6.20	    233182.0
 2022 02 01 03 27 00 000   -3.67   3.41   1.61  -425.60	  59.30	 -10.30	   5.04	    129188.0
 2022 02 01 03 28 00 000   -3.42   4.08   0.09  -430.80	  53.90	 -10.20	   5.01	    164590.0
 2022 02 01 03 29 00 000   -3.51   3.86   0.48  -434.00	  59.20	 -16.50	   5.37	    185048.0
 2022 02 01 03 30 00 000   -3.55   3.75   0.62  -435.30	  55.50	 -14.90	   6.31	    237104.0
 2022 02 01 03 31 00 000   -3.78   3.37   1.64  -423.40	  62.00	 -19.80	   4.87	    133770.0
 2022 02 01 03 32 00 000   -3.22   3.82   2.14  -432.70	  61.00	 -20.50	   4.96	    167767.0
 2022 02 01 03 33 00 000   -3.62   4.05   0.92  -429.80	  66.80	 -25.70	   4.75	    172594.0
 2022 02 01 03 34 00 000   -3.66   3.85   1.62  -429.90	  69.80	 -28.20	   4.49	    173372.0
 2022 02 01 03 35 00 000   -3.57   3.62   2.24  -430.60	  66.40	 -35.60	   4.48	    170630.0
 2022 02 01 03 36 00 000   -3.72   3.58   2.27  -430.70	  74.70	 -37.00	   4.37	    171368.0
 2022 02 01 03 37 00 000   -3.57   3.39   2.30  -430.80	  65.90	 -30.20	   4.60	    170052.0
 2022 02 01 03 38 00 000   -3.00   3.96   1.19  -432.90	  62.90	 -15.20	   4.87	    165811.0
 2022 02 01 03 39 00 000   -2.83   4.30   0.68  -436.90	  63.30	 -24.40	   5.61	    231576.0
 2022 02 01 03 40 00 000   -2.85   4.23   0.65  -434.40	  52.70	  -9.80	   6.87	    258592.0
 2022 02 01 03 41 00 000   -2.91   4.19   0.94  -434.80	  54.10	   6.30	   7.05	    284697.0
 2022 02 01 03 42 00 000   -3.19   3.98   0.82  -434.50	  48.70	   4.70	   7.51	    294841.0
 2022 02 01 03 43 00 000   -2.16   4.17   1.30  -435.40	  47.80	  -1.70	   7.70	    289293.0
 2022 02 01 03 44 00 000   -2.11   4.40   1.80  -437.10	  36.20	  10.50	   7.71	    278795.0
 2022 02 01 03 45 00 000    0.02   4.79   2.30  -448.80	  42.70	   8.30	   7.34	    204836.0
 2022 02 01 03 46 00 000   -1.10   4.70   2.48  -439.40	  36.50	  14.20	   7.58	    263987.0
 2022 02 01 03 47 00 000    0.30   5.01   2.34  -447.10	  42.10	  -0.10	   7.56	    236397.0
 2022 02 01 03 48 00 000   -2.43   3.91   2.43  -435.60	  46.30	   6.10	   7.57	    284545.0
 2022 02 01 03 49 00 000   -2.46   3.93   2.17  -436.40	  41.70	  -3.60	   7.57	    286802.0
 2022 02 01 03 50 00 000   -3.32   3.64   1.23  -427.00	  52.50	  -2.80	   7.17	    258337.0
